"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/06/24","物販","-350","【け】モバイルSuica (My JR-EAST ID)","食費","コンビニ","","0","3fKBi9HH5In92VtH2Xe-K3YdbvfNvWbk0lH5HNOrolw"
"1","2024/06/24","物販","-550","【け】モバイルSuica (My JR-EAST ID)","食費","コンビニ","","0","xxlgo3HBDqR8IUDdB2QmEiBp-n6_854IwYUg8QBrL9Q"
"1","2024/06/24","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","コンビニ","","0","IfMpcFcxKsf2Kn0v_0BTxWhfcgdzxcjptxUtTaWW3p4"
"1","2024/06/24","ブログ歴17年のプロが教える売れる文章術 ブログライティングの教科書 販売: アマゾンジャパン合同会社","-1760","Amazon.co.jp","教養・教育","書籍","","0","UHqlg3YjNxoJHK-v_UKccDL8_s8MS1PFemEhT88dl-E"
"1","2024/06/24","OPENAI *CHATGPT SUBSCR 4158799686","-3250","JCBカード","住宅","サブスク","","0","LGxcotRdtj27hcZMuhwo_JT-RcOe2R4IFYGw8f-dBR8"
"1","2024/06/24","ＣＡＩＮＺＰｉｃｋＵｐ","-716","JCBカード","日用品","日用品","","0","QtoIdekfA2QJHeZYL0-DIhtIDfWdU3FyFlIm2nX0XYo"
"0","2024/06/24","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-1760","JCBカード","住宅","住宅","","1","adzRm3EJ_bgE8U822BdgpZApsnR8f_sEuqguI7Hi-UU"
"1","2024/06/23","コメダ珈琲店　エキア東武練馬店","-1570","JCBカード","食費","外食","","0","4SfjShJvZ0K4OO5AEgR3cpin7onk1K0LKhQOYisb75c"
"1","2024/06/23","ＪＲ東日本　えきねっと","-10460","JCBカード","交通費","電車","","0","dkvgpid0yc27MyfNIxE0-xfP6qPR3n3b-4NHF-XIkDo"
"1","2024/06/22","ユニクロ","-3500","JCBカード","衣服・美容","衣服","","0","IXznYlMV7784LP3DVv_sy8AtU1eESaatR4w3IWbr1zg"
"1","2024/06/22","マクドナルドモバイルオーダーペイ","-2620","JCBカード","食費","外食","","0","m5OZDCY523mUg5uPtjq9BR02Ap2BwTI-aJfN6MrHNno"
"1","2024/06/22","西友","-6488","JCBカード","食費","食費","","0","8kBTbZK84-jm_drIZFRZDJOQnv_bFDVarDQY0duZuSs"
"0","2024/06/21","カード モバイル","10000","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","1","RuPFvN-3lY6BsFtGL7uIq14b5zoegIHfBvsCoWPUHiE"
"1","2024/06/21","フリカエ ペイペイ (S212406211422400D66C)","-5000","【ま】住信SBIネット銀行","日用品","日用品","","0","k3Xz5NVdcK6INjp7aZuBeU1EZKdVQOIMTZeuCLoqSbU"
"1","2024/06/21","プレ幼稚園　5・6月分","-10000","なし","特別な支出","学用品など","","0","-tmSGfmQAxvGOfXKUOrpXa3w13Z4GHnlOrg7BOSpoT8"
"0","2024/06/21","ＪＲ東日本モバイルＳｕｉｃａ","-10000","JCBカード","日用品","日用品","","1","ofgee8XJws80XvDB94CDTEDjgORE4Bsv3Te9Y6iWv-I"
"1","2024/06/20","物販","-130","【け】モバイルSuica (My JR-EAST ID)","食費","コンビニ","","0","E-HE08V8Uz-3ESYB2GcyON8FeCUrrqWiszrG_EKzgSc"
"1","2024/06/20","物販","-408","【け】モバイルSuica (My JR-EAST ID)","食費","コンビニ","","0","qI_HBX4HrO62O187JPmCkZ3Bhyqvq9eSK0FE0V7H_u4"
"1","2024/06/20","ポイント","487","Amazon.co.jp","収入","一時所得","","0","3rllSqbjN5EgrVE5OvN7DS2ixfKBzuRKbx4Qn5YrRv0"
